1 1 1 -0.8476
2 1 2 0.4238
3 1 2 0.4238
4 2 1 -0.8476
5 2 2 0.4238
6 2 2 0.4238
7 3 1 -0.8476
8 3 2 0.4238
9 3 2 0.4238
10 4 1 -0.8476
11 4 2 0.4238
12 4 2 0.4238
13 5 1 -0.8476
14 5 2 0.4238
15 5 2 0.4238
16 6 1 -0.8476
17 6 2 0.4238
18 6 2 0.4238
19 7 1 -0.8476
20 7 2 0.4238
21 7 2 0.4238
22 8 1 -0.8476
23 8 2 0.4238
24 8 2 0.4238
25 9 1 -0.8476
26 9 2 0.4238
27 9 2 0.4238
28 10 1 -0.8476
29 10 2 0.4238
30 10 2 0.4238
31 11 1 -0.8476
32 11 2 0.4238
33 11 2 0.4238
34 12 1 -0.8476
35 12 2 0.4238
36 12 2 0.4238
37 13 1 -0.8476
38 13 2 0.4238
39 13 2 0.4238
40 14 1 -0.8476
41 14 2 0.4238
42 14 2 0.4238
43 15 1 -0.8476
44 15 2 0.4238
45 15 2 0.4238
46 16 1 -0.8476
47 16 2 0.4238
48 16 2 0.4238
49 17 1 -0.8476
50 17 2 0.4238
51 17 2 0.4238
52 18 1 -0.8476
53 18 2 0.4238
54 18 2 0.4238
55 19 1 -0.8476
56 19 2 0.4238
57 19 2 0.4238
58 20 1 -0.8476
59 20 2 0.4238
60 20 2 0.4238
61 21 1 -0.8476
62 21 2 0.4238
63 21 2 0.4238
64 22 1 -0.8476
65 22 2 0.4238
66 22 2 0.4238
67 23 1 -0.8476
68 23 2 0.4238
69 23 2 0.4238
70 24 1 -0.8476
71 24 2 0.4238
72 24 2 0.4238
73 25 1 -0.8476
74 25 2 0.4238
75 25 2 0.4238
76 26 1 -0.8476
77 26 2 0.4238
78 26 2 0.4238
79 27 1 -0.8476
80 27 2 0.4238
81 27 2 0.4238
82 28 1 -0.8476
83 28 2 0.4238
84 28 2 0.4238
85 29 1 -0.8476
86 29 2 0.4238
87 29 2 0.4238
88 30 1 -0.8476
89 30 2 0.4238
90 30 2 0.4238
91 31 1 -0.8476
92 31 2 0.4238
93 31 2 0.4238
94 32 1 -0.8476
95 32 2 0.4238
96 32 2 0.4238
97 33 1 -0.8476
98 33 2 0.4238
99 33 2 0.4238
100 34 1 -0.8476
101 34 2 0.4238
102 34 2 0.4238
103 35 1 -0.8476
104 35 2 0.4238
105 35 2 0.4238
106 36 1 -0.8476
107 36 2 0.4238
108 36 2 0.4238
109 37 1 -0.8476
110 37 2 0.4238
111 37 2 0.4238
112 38 1 -0.8476
113 38 2 0.4238
114 38 2 0.4238
115 39 1 -0.8476
116 39 2 0.4238
117 39 2 0.4238
118 40 1 -0.8476
119 40 2 0.4238
120 40 2 0.4238
121 41 1 -0.8476
122 41 2 0.4238
123 41 2 0.4238
124 42 1 -0.8476
125 42 2 0.4238
126 42 2 0.4238
127 43 1 -0.8476
128 43 2 0.4238
129 43 2 0.4238
130 44 1 -0.8476
131 44 2 0.4238
132 44 2 0.4238
133 45 1 -0.8476
134 45 2 0.4238
135 45 2 0.4238
136 46 1 -0.8476
137 46 2 0.4238
138 46 2 0.4238
139 47 1 -0.8476
140 47 2 0.4238
141 47 2 0.4238
142 48 1 -0.8476
143 48 2 0.4238
144 48 2 0.4238
145 49 1 -0.8476
146 49 2 0.4238
147 49 2 0.4238
148 50 1 -0.8476
149 50 2 0.4238
150 50 2 0.4238
151 51 1 -0.8476
152 51 2 0.4238
153 51 2 0.4238
154 52 1 -0.8476
155 52 2 0.4238
156 52 2 0.4238
157 53 1 -0.8476
158 53 2 0.4238
159 53 2 0.4238
160 54 1 -0.8476
161 54 2 0.4238
162 54 2 0.4238
163 55 1 -0.8476
164 55 2 0.4238
165 55 2 0.4238
166 56 1 -0.8476
167 56 2 0.4238
168 56 2 0.4238
169 57 1 -0.8476
170 57 2 0.4238
171 57 2 0.4238
172 58 1 -0.8476
173 58 2 0.4238
174 58 2 0.4238
175 59 1 -0.8476
176 59 2 0.4238
177 59 2 0.4238
178 60 1 -0.8476
179 60 2 0.4238
180 60 2 0.4238
181 61 1 -0.8476
182 61 2 0.4238
183 61 2 0.4238
184 62 1 -0.8476
185 62 2 0.4238
186 62 2 0.4238
187 63 1 -0.8476
188 63 2 0.4238
189 63 2 0.4238
190 64 1 -0.8476
191 64 2 0.4238
